time,input,output
18.88,370,6
18.89,370,6
18.90,370,6
18.91,370,6
18.92,370,9
18.93,370,9
18.94,370,9
18.95,370,9
18.96,370,9
18.97,370,9
18.98,370,9
19.00,370,9
19.01,368,9
19.02,370,12
19.03,370,12
19.04,370,12
19.05,370,12
19.06,370,12
19.07,370,12
19.08,370,12
19.09,370,12
19.10,370,12
19.12,370,12
19.13,370,13
19.14,370,13
19.15,370,13
19.16,370,13
19.17,370,13
19.18,370,13
19.19,370,13
19.20,370,13
19.21,370,13
19.23,370,17
19.24,370,17
19.25,370,17
19.26,370,17
19.27,370,17
19.28,370,17
19.29,370,17
19.30,370,17
19.31,370,17
19.32,370,18
19.34,370,18
19.35,370,18
19.36,370,18
19.37,368,18
19.38,368,18
19.39,370,18
19.40,370,18
19.41,370,18
19.42,370,19
19.43,370,19
19.45,370,19
19.46,370,19
19.47,370,19
19.48,370,19
19.49,370,19
19.50,370,19
19.51,370,19
19.52,368,22
19.53,368,22
19.54,370,22
19.55,368,22
19.57,370,22
19.58,370,22
19.59,370,22
19.60,370,22
19.61,368,22
